CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099
176,MT,48223,B,"20,0",0,,"2,24873","1,70422","0,17961",AZUL,303,,"0,0",2016,"678,154706954956","700,0343799591064","785,3858470916748"
177,MT,96833,A,"4,0",0,,"1,75245","1,16274","0,08471",AZUL,303,,"0,0",2016,"632,366418838501","659,0502262115479","767,5139904022217"
178,MT,39198,E,"6,0",0,,"1,60611","2,5091","0,06869",AZUL,303,,"0,0",2016,"769,4904804229736","798,393964767456","916,5709018707275"
179,MT,88786,B,"17,0",0,,"1,64372","1,00596","0,08678",AZUL,303,,"0,0",2016,"617,6202297210693","646,09694480896","761,75856590271"
180,MT,60315,C,"19,0",0,,"1,75029","3,06564","0,15981",AZUL,303,,"0,0",2016,"817,8846836090088","845,6652164459229","955,0802707672119"
1,LC,7212,A,"6,0",0,,"2,02251","-0,42105","0,20161",Amarela,496,"1,0","0,0",2018,"465,0990962982178","489,76826667785645","584,918737411499"
1,LC,32893,C,"5,0",0,,"2,59894","0,65173","0,18129",Amarela,456,"1,0","0,0",2018,"571,784257888794","590,7337665557861","664,5982265472412"
1,LC,87507,B,"6,0",0,,"4,00263","0,48023","0,34654",Amarela,456,"0,0","0,0",2018,"545,9253787994385","560,0540637969971","609,2231273651123"
1,LC,90119,B,"5,0",0,,"2,61664","0,61521","0,22421",Amarela,496,"0,0","0,0",2018,"565,9263134002686","585,2930545806885","659,0478420257568"
2,LC,17485,B,"5,0",0,,"3,24021","0,77443","0,22017",Amarela,496,"0,0","0,0",2018,"581,1731815338135","596,7657566070557","656,2964916229248"
2,LC,55933,C,"6,0",0,,"1,35954","1,17424","0,25459",Amarela,496,"1,0","0,0",2018,"622,7033138275146","660,8312129974365","803,3792972564697"
2,LC,59531,B,"7,0",0,,"1,17987","0,18899","0,05644",Amarela,456,"1,0","0,0",2018,"545,233964920044","584,3656063079834","745,0668811798096"
2,LC,87035,B,"5,0",0,,"4,5056","0,73171","0,2227",Amarela,456,"0,0","0,0",2018,"575,7753849029541","587,0096683502197","629,8367977142334"
3,LC,13652,E,"7,0",0,,"2,43311","0,94271","0,15103",Amarela,456,"0,0","0,0",2018,"602,8430461883545","622,7271556854248","701,3623714447021"
3,LC,61229,E,"5,0",0,,"1,73024","1,83611","0,20924",Amarela,496,"1,0","0,0",2018,"691,4489269256592","720,4334735870361","831,7606449127197"
3,LC,84836,B,"5,0",0,,"1,76657","1,0366","0,213",Amarela,456,"1,0","0,0",2018,"611,0517978668213","639,5118236541748","748,6026287078857"
