CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
31,CN,43722,D,"8,0",0,,"4,50872","1,66775","0,12154",CINZA,PROVA CINZA,,"0,0",2017,"669,1114902496338","682,7108860015869","725,0158786773682","56,08",Cluster 0
32,CN,49778,B,"8,0",0,,"1,70982","1,04858","0,1943",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"605,3440570831299","642,9784297943115","755,4285526275635","59,72",Cluster 0
32,CN,89981,A,"9,0",0,,"1,48688","1,61043","0,26684",CINZA,PROVA CINZA,,"0,0",2017,"653,8097858428955","699,8341083526611","830,4088115692139","63,34",Cluster 0
33,CN,18168,D,"20,0",0,,"1,14588","1,3463","0,32872",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"614,6948337554932","678,6315441131592","849,804162979126","66,44",Cluster 0
33,CN,62247,C,"19,0",0,,"1,90393","1,8785","0,27172",CINZA,PROVA CINZA,,"0,0",2017,"681,7452907562256","717,8585529327393","819,90647315979","63,59",Cluster 0
34,CN,82202,C,"4,0",0,,"2,70418","1,11146","0,14919",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"613,74831199646","636,8129253387451","707,5493335723877","57,46",Cluster 0
35,CN,32923,D,"18,0",0,,"3,65204","1,66277","0,25335",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"663,9711856842041","682,4724674224854","735,5301380157471","62,67",Cluster 0
36,CN,16902,D,"17,0",0,,"2,28624","1,06386","0,16702",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"608,4244251251221","636,028528213501","719,8612689971924","58,35",Cluster 0
38,CN,40150,B,"3,0",0,,"2,52396","1,35265","0,14168",CINZA,PROVA CINZA,,"0,0",2017,"638,4365558624268","663,031816482544","738,7607097625732","57,08",Cluster 0
43,CN,11590,B,"24,0",0,,"2,56093","1,66137","0,12886",CINZA,PROVA CINZA,,"0,0",2017,"669,8958873748779","693,9451694488525","768,481969833374","56,44",Cluster 0
43,CN,15945,B,"14,0",0,,"3,33562","1,36703","0,16365",CINZA,PROVA CINZA PPL REAPLICACAO,,"0,0",2017,"638,2362842559814","657,1142673492432","714,5516872406006","58,18",Cluster 0
45,CN,66897,A,"15,0",0,,"3,34472","1,92451","0,17733",CINZA,PROVA CINZA,,"0,0",2017,"693,4206485748291","712,4249935150146","769,7932720184326","58,87",Cluster 0
91,CN,27417,E,"22,0",0,,"1,67211","1,96584","0,24188",Cinza,PROVA CINZA,,"0,0",2018,"692,6934719085693","732,6858043670654","848,3808040618896","62,09",Cluster 0
92,CN,40203,B,"24,0",0,,"2,40632","1,8928","0,12094",Cinza,PROVA CINZA,,"0,0",2018,"693,6900615692139","719,1627025604248","798,4249591827393","56,05",Cluster 0
95,CN,111564,B,"3,0",0,,"1,5965","1,16868","0,11844",Cinza,PROVA CINZA,,"0,0",2018,"623,7046718597412","662,0423793792725","781,4829349517822","55,92",Cluster 0
97,CN,85700,C,"16,0",0,,"1,8199","1,42382","0,13254",Cinza,PROVA CINZA,,"0,0",2018,"647,4201679229736","681,3352108001709","786,2608432769775","56,63",Cluster 0
98,CN,83440,E,"20,0",0,,"2,3472","1,81929","0,05895",Cinza,PROVA CINZA,,"0,0",2018,"689,4986629486084","714,7519588470459","795,5496311187744","52,95",Cluster 0
99,CN,62289,D,"9,0",0,,"1,51059","1,777","0,06851",Cinza,PROVA CINZA,,"0,0",2018,"688,7667179107666","728,196382522583","853,8453578948975","53,43",Cluster 0
100,CN,39342,D,"21,0",0,,"2,07227","1,12818","0,2408",Cinza,PROVA CINZA,,"0,0",2018,"609,7643375396729","642,0032978057861","735,3441715240479","62,04",Cluster 0
101,CN,111635,E,"14,0",0,,"1,8637","1,5452","0,17661",Cinza,PROVA CINZA,,"0,0",2018,"656,3131809234619","690,4022693634033","793,353796005249","58,83",Cluster 0
102,CN,111630,D,"19,0",0,,"1,44722","1,54204","0,09725",Cinza,PROVA CINZA,,"0,0",2018,"663,496732711792","705,2819728851318","836,7745876312256","54,86",Cluster 0
103,CN,62499,D,"17,0",0,,"3,20508","1,25772","0,17322",Cinza,PROVA CINZA,,"0,0",2018,"626,9614696502686","646,7359066009521","706,5765857696533","58,66",Cluster 0
103,CN,86038,C,"6,0",0,,"2,39555","1,09776","0,23861",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"607,2824001312256","635,120153427124","715,839147567749","61,93",Cluster 0
105,CN,12591,B,"28,0",0,,"4,53397","1,35731","0,08292",Cinza,PROVA CINZA,,"0,0",2018,"639,0612125396729","652,2982120513916","694,2121982574463","54,15",Cluster 0
105,CN,50091,A,"30,0",0,,"3,40786","1,18914","0,12648",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"621,8259334564209","639,8718357086182","695,8715915679932","56,32",Cluster 0
106,CN,67958,C,"19,0",0,,"3,9208","1,41415","0,11735",Cinza,PROVA CINZA,,"0,0",2018,"644,2325115203857","659,834623336792","708,4624767303467","55,87",Cluster 0
107,CN,82306,C,"1,0",0,,"4,08723","1,42925","0,18667",Cinza,PROVA CINZA,,"0,0",2018,"643,3956623077393","659,0526103973389","706,0520648956299","59,33",Cluster 0
107,CN,88032,A,"23,0",0,,"3,63295","1,38608","0,18621",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"639,1565799713135","656,7637920379639","709,6378803253174","59,31",Cluster 0
109,CN,97538,E,"2,0",0,,"2,42194","1,36482","0,17713",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"637,8333568572998","664,0737056732178","743,300199508667","58,86",Cluster 0
110,CN,61010,B,"17,0",0,,"2,81843","1,59856","0,11392",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"663,9235019683838","685,5838298797607","753,2088756561279","55,7",Cluster 0
110,CN,76034,B,"22,0",0,,"3,2733","1,82425","0,09321",Cinza,PROVA CINZA,,"0,0",2018,"686,6781711578369","705,1126956939697","763,2248401641846","54,66",Cluster 0
112,CN,11276,D,"25,0",0,,"4,04524","1,47668","0,2267",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"646,6643810272217","662,9817485809326","710,7059955596924","61,34",Cluster 0
112,CN,43554,D,"5,0",0,,"2,76937","1,50273","0,18595",Cinza,PROVA CINZA,,"0,0",2018,"651,0059833526611","674,0992069244385","743,457555770874","59,3",Cluster 0
115,CN,87724,E,"28,0",0,,"1,71388","1,29656","0,10169",Cinza,PROVA CINZA,,"0,0",2018,"637,1991634368896","672,5709438323975","783,6501598358154","55,08",Cluster 0
116,CN,89518,C,"5,0",0,,"3,91646","1,31695","0,14694",Cinza,PROVA CINZA,,"0,0",2018,"633,5656642913818","649,468183517456","698,2986927032471","57,35",Cluster 0
118,CN,59858,A,"25,0",0,,"3,48757","1,61171","0,17521",Cinza,PROVA CINZA,,"0,0",2018,"662,1854305267334","680,3839206695557","735,3894710540771","58,76",Cluster 0
119,CN,90228,E,"20,0",0,,"1,23446","1,32274","0,27159",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"622,8773593902588","678,5695552825928","835,9568119049072","63,58",Cluster 0
120,CN,12199,B,"17,0",0,,"1,89006","1,7307","0,23529",Cinza,PROVA CINZA,,"0,0",2018,"670,1962947845459","705,3749561309814","807,6350688934326","61,76",Cluster 0
121,CN,85191,A,"26,0",0,,"2,01969","1,18084","0,20235",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"617,9134845733643","649,9664783477783","745,2576160430908","60,12",Cluster 0
121,CN,111720,C,"30,0",0,,"2,03842","1,28024","0,1488",Cinza,PROVA CINZA,,"0,0",2018,"631,4985752105713","662,0900630950928","755,9268474578857","57,44",Cluster 0
123,CN,84299,B,"19,0",0,,"2,2147","1,22281","0,29782",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"614,8331165313721","646,7335224151611","734,8244190216064","64,89",Cluster 0
124,CN,11364,E,"5,0",0,,"1,77599","1,94441","0,15274",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"698,138952255249","733,3390712738037","841,0875797271729","57,64",Cluster 0
125,CN,111414,E,"27,0",0,,"2,04034","1,92499","0,21775",Cinza,PROVA CINZA,,"0,0",2018,"691,1914348602295","723,30641746521","817,8155422210693","60,89",Cluster 0
126,CN,111761,A,"7,0",0,,"2,03133","1,98006","0,20358",Cinza,PROVA CINZA,,"0,0",2018,"697,7455615997314","729,6459674835205","824,4054317474365","60,18",Cluster 0
127,CN,61404,E,"19,0",0,,"2,50487","1,90444","0,1037",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"695,5091953277588","719,7396755218506","795,7546710968018","55,18",Cluster 0
127,CN,111637,E,"9,0",0,,"2,65752","1,59508","0,15058",Cinza,PROVA CINZA,,"0,0",2018,"662,0876789093018","685,5766773223877","757,5671672821045","57,53",Cluster 0
129,CN,14147,C,"17,0",0,,"2,36027","1,97375","0,11389",Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2018,"702,2349834442139","728,0962467193604","808,8510036468506","55,69",Cluster 0
129,CN,111456,B,"2,0",0,,"0,92339","1,76478","0,08431",Cinza,PROVA CINZA,,"0,0",2018,"692,6624774932861","757,6959133148193","963,5345935821532","54,22",Cluster 0
130,CN,87205,D,"23,0",0,,"2,18742","1,54804","0,13671",Cinza,PROVA CINZA,,"0,0",2018,"658,7545871734619","687,0453357696533","774,3780612945557","56,84",Cluster 0
131,CN,61264,B,"14,0",0,,"1,85116","1,38202","0,14086",Cinza,PROVA CINZA,,"0,0",2018,"642,5826549530029","676,0995388031006","779,3419361114502","57,04",Cluster 0
