CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
29,LC,118260,E,"15,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,Amarela,PROVA AMARELA,,"0,0",2019,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
6,LC,118258,D,"13,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,AMARELA,PROVA AMARELA,,,2021,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
18,LC,118240,B,"15,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,AMARELA,PROVA AMARELA,,,2021,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
18,LC,84880,X,"11,0",1,Anulado,,,,AMARELA,PROVA AMARELA PPL REAPLICACAO,,,2021,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
