CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,CO_PROVA,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,TP_CERTIFICACAO,IN_ITEM_ADAPTADO
2,MA,94307,D,13,201918,0,,2.19411,2.42776,0.34415,Amarela,1,0
2,MA,94604,C,8,201926,1,bisblg < -0.15,,,,Amarela,1,0
2,MT,35396,D,6,201922,0,,1.67427,2.44855,0.28675,Amarela,2,0
2,MT,77470,C,24,201930,0,,0.94096,2.10611,0.28076,Amarela,2,0
2,MT,79448,A,16,201910,0,,1.0292,3.7191,0.23625,Amarela,2,0
2,MT,79448,A,16,201914,0,,1.0292,3.7191,0.23625,Amarela,2,1
2,MT,79996,D,29,201938,0,,1.33294,1.68494,0.1145,Amarela,2,0
3,CH,56544,D,19,201924,0,,1.09845,0.97465,0.20106,Azul,2,0
3,CH,57495,B,30,201932,0,,0.35377,1.1581,0.24828,Azul,2,0
3,CH,57654,B,3,201912,0,,0.82006,0.13285,0.23264,Azul,2,0
3,CH,57654,B,3,201916,0,,0.82006,0.13285,0.23264,Azul,2,1
3,CH,79255,B,10,201940,0,,1.02348,-0.17935,0.22029,Azul,2,0
3,CI,58347,C,2,201933,0,,1.0987,1.86067,0.16971,Rosa,1,0
3,CI,90340,D,25,201925,0,,2.28598,2.13854,0.16836,Rosa,1,0
3,CI,91357,B,3,201901,0,,0.41584,0.34752,0.0257,Rosa,1,0
3,CI,91357,B,3,201905,0,,0.41584,0.34752,0.0257,Rosa,1,1
3,CI,92870,A,1,201917,0,,0.46493,0.16551,0.0583,Rosa,1,0
3,CN,80643,B,20,201937,0,,1.01464,2.28389,0.16659,Rosa,2,0
3,CN,80697,C,17,201921,0,,0.581,0.5655,0.21053,Rosa,2,0
3,CN,91878,A,3,201909,1,Problemas na convergencia,,,,Rosa,2,0
3,CN,91878,A,3,201913,1,Problemas na convergencia,,,,Rosa,2,1
3,CN,94394,D,4,201929,0,,1.18418,1.05261,0.05331,Rosa,2,0
3,HG,39000,A,18,201920,0,,0.85438,0.24059,0.20248,Azul,1,0
3,HG,57191,D,26,201904,1,Problemas na convergencia,,,,Azul,1,0
3,HG,57191,D,26,201908,1,Problemas na convergencia,,,,Azul,1,1
3,HG,74934,C,27,201928,0,,1.10193,2.56613,0.30336,Azul,1,0
3,HG,76516,A,5,201936,0,,1.65399,-0.42492,0.19594,Azul,1,0
3,LC,35986,D,24,201923,0,,1.21057,2.41627,0.20246,Branca,2,0
3,LC,56990,A,19,201939,0,,0.74037,1.35641,0.20293,Branca,2,0
3,LC,92816,B,3,201911,0,,1.63892,0.0455,0.32325,Branca,2,0
3,LC,92816,B,3,201915,0,,1.63892,0.0455,0.32325,Branca,2,1
3,LC,94230,A,28,201931,0,,2.64814,1.33835,0.20177,Branca,2,0
3,LP,56846,D,26,201927,0,,1.10805,1.86531,0.09119,Cinza,1,0
3,LP,58537,C,21,201919,0,,1.20263,1.69678,0.14868,Cinza,1,0
3,LP,88405,A,1,201903,0,,0.85317,1.72577,0.07293,Cinza,1,0
3,LP,88405,A,1,201907,0,,0.85317,1.72577,0.07293,Cinza,1,1
3,LP,89264,D,13,201935,0,,0.67863,0.73719,0.09813,Cinza,1,0
3,MA,35111,B,7,201934,0,,0.98717,1.40662,0.19189,Amarela,1,0
3,MA,57582,B,17,201918,0,,3.55371,2.47528,0.07442,Amarela,1,0
3,MA,58517,B,29,201926,0,,0.38611,3.33236,0.22028,Amarela,1,0
3,MA,94311,C,11,201902,0,,2.00108,1.59339,0.13426,Amarela,1,0
3,MA,94311,C,11,201906,0,,2.00108,1.59339,0.13426,Amarela,1,1
3,MT,58313,C,5,201930,0,,1.83387,2.57285,0.12461,Amarela,2,0
3,MT,89606,A,10,201910,0,,2.08561,2.68731,0.37515,Amarela,2,0
3,MT,89606,A,10,201914,0,,2.08561,2.68731,0.37515,Amarela,2,1
3,MT,92968,C,13,201938,0,,1.25898,1.57118,0.15601,Amarela,2,0
