CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,CO_PROVA,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,TP_LINGUA,TP_CERTIFICACAO,IN_ITEM_ADAPTADO
27,CI,125296,A,H27,202005,0,,0.41679,0.81107,0.12804,Rosa - Ledor,,1,1
23,CI,125312,B,H23,202001,0,,0.56532,-0.16036,0.04874,Rosa,,1,0
23,CI,125312,B,H23,202005,0,,0.56532,-0.16036,0.04874,Rosa - Ledor,,1,1
21,CI,125318,A,H21,202001,0,,0.42047,5.97732,0.24005,Rosa,,1,0
21,CI,125318,A,H21,202005,0,,0.42047,5.97732,0.24005,Rosa - Ledor,,1,1
9,LP,125337,C,H9,202007,0,,0.98732,1.60927,0.1587,Cinza - Ledor,,1,1
9,LP,125337,C,H9,202003,0,,0.98732,1.60927,0.1587,Cinza,,1,0
30,CI,125346,B,H30,202001,0,,0.61615,1.2259,0.26705,Rosa,,1,0
30,CI,125346,B,H30,202005,0,,0.61615,1.2259,0.26705,Rosa - Ledor,,1,1
5,LP,125357,A,H11,202007,0,,0.76313,1.75299,0.04108,Cinza - Ledor,,1,1
5,LP,125357,A,H11,202003,0,,0.76313,1.75299,0.04108,Cinza,,1,0
4,CN,125358,A,H4,202009,0,,0.82904,0.53505,0.03543,Rosa,,2,0
4,CN,125358,A,H4,202013,0,,0.82904,0.53505,0.03543,Rosa - Ledor,,2,1
23,LP,125365,D,H26,202007,0,,1.59726,3.31885,0.43901,Cinza - Ledor,,1,1
23,LP,125365,D,H26,202003,0,,1.59726,3.31885,0.43901,Cinza,,1,0
6,CI,125374,D,H6,202005,0,,1.18933,0.68591,0.15688,Rosa - Ledor,,1,1
6,CI,125374,D,H6,202001,0,,1.18933,0.68591,0.15688,Rosa,,1,0
22,CN,125399,C,H22,202013,0,,1.58993,2.17846,0.19296,Rosa - Ledor,,2,1
22,CN,125399,C,H22,202009,0,,1.58993,2.17846,0.19296,Rosa,,2,0
7,LP,125414,D,H13,202007,0,,0.63394,2.73214,0.21507,Cinza - Ledor,,1,1
7,LP,125414,D,H13,202003,0,,0.63394,2.73214,0.21507,Cinza,,1,0
25,LP,125444,D,H2,202007,0,,0.39327,-0.17067,0.12938,Cinza - Ledor,,1,1
25,LP,125444,D,H2,202003,0,,0.39327,-0.17067,0.12938,Cinza,,1,0
9,CN,125454,C,H9,202009,0,,0.687,2.84468,0.5,Rosa,,2,0
9,CN,125454,C,H9,202013,0,,0.687,2.84468,0.5,Rosa - Ledor,,2,1
29,CI,125456,D,H29,202001,0,,0.86663,-0.39891,0.04013,Rosa,,1,0
29,CI,125456,D,H29,202005,0,,0.86663,-0.39891,0.04013,Rosa - Ledor,,1,1
22,LP,125493,A,H30,202007,0,,1.44481,0.66028,0.10437,Cinza - Ledor,,1,1
22,LP,125493,A,H30,202003,0,,1.44481,0.66028,0.10437,Cinza,,1,0
27,LP,125561,B,H20,202007,0,,0.28004,2.21424,0.10408,Cinza - Ledor,,1,1
27,LP,125561,B,H20,202003,0,,0.28004,2.21424,0.10408,Cinza,,1,0
29,LP,125583,A,H24,202007,0,,1.0285,3.11635,0.16229,Cinza - Ledor,,1,1
29,LP,125583,A,H24,202003,0,,1.0285,3.11635,0.16229,Cinza,,1,0
13,LP,125584,C,H6,202007,0,,1.13674,1.39676,0.16369,Cinza - Ledor,0,1,1
13,LP,125584,C,H6,202003,0,,1.13674,1.39676,0.16369,Cinza,0,1,0
26,LP,125616,A,H3,202007,0,,0.62761,-0.70159,0.09423,Cinza - Ledor,,1,1
26,LP,125616,A,H3,202003,0,,0.62761,-0.70159,0.09423,Cinza,,1,0
1,LP,125618,D,H16,202003,0,,0.83814,0.95555,0.03157,Cinza,,1,0
1,LP,125618,D,H16,202007,0,,0.83814,0.95555,0.03157,Cinza - Ledor,,1,1
28,LP,125619,D,H22,202007,0,,1.67693,1.28512,0.38624,Cinza - Ledor,,1,1
28,LP,125619,D,H22,202003,0,,1.67693,1.28512,0.38624,Cinza,,1,0
30,LP,125620,D,H27,202007,0,,0.66243,1.78163,0.26254,Cinza - Ledor,,1,1
30,LP,125620,D,H27,202003,0,,0.66243,1.78163,0.26254,Cinza,,1,0
8,LP,125636,A,H8,202007,0,,2.37175,2.10771,0.23243,Cinza - Ledor,,1,1
8,LP,125636,A,H8,202003,0,,2.37175,2.10771,0.23243,Cinza,,1,0
6,LC,126106,C,H7,202015,0,,0.97475,0.18513,0.22197,Branco - Ledor,1,2,1
6,LC,126106,C,H7,202011,0,,0.97475,0.18513,0.22197,Branco,1,2,0
4,LC,126110,B,H5,202015,0,,0.95486,0.00146,0.02201,Branco - Ledor,1,2,1
4,LC,126110,B,H5,202011,0,,0.95486,0.00146,0.02201,Branco,1,2,0
17,LC,126124,A,H24,202015,0,,1.12152,1.50727,0.15933,Branco - Ledor,,2,1
17,LC,126124,A,H24,202011,0,,1.12152,1.50727,0.15933,Branco,,2,0
7,LC,126136,C,H8,202015,1,Problemas na convergencia,,,,Branco - Ledor,0,2,1
7,LC,126136,C,H8,202011,1,Problemas na convergencia,,,,Branco,0,2,0
20,LC,126148,D,H4,202015,0,,0.78717,-0.39324,0.01288,Branco - Ledor,,2,1
20,LC,126148,D,H4,202011,0,,0.78717,-0.39324,0.01288,Branco,,2,0
22,LC,126169,B,H18,202015,0,,0.27996,-0.65354,0.07414,Branco - Ledor,,2,1
22,LC,126169,B,H18,202011,0,,0.27996,-0.65354,0.07414,Branco,,2,0
2,LC,126254,D,H10,202015,0,,1.13457,1.22627,0.08286,Branco - Ledor,,2,1
2,LC,126254,D,H10,202011,0,,1.13457,1.22627,0.08286,Branco,,2,0
18,LC,126258,C,H25,202015,0,,1.38446,0.68053,0.06441,Branco - Ledor,,2,1
18,LC,126258,C,H25,202011,0,,1.38446,0.68053,0.06441,Branco,,2,0
1,LC,126260,D,H9,202015,0,,0.64514,-0.85999,0.02337,Branco - Ledor,,2,1
1,LC,126260,D,H9,202011,0,,0.64514,-0.85999,0.02337,Branco,,2,0
14,LC,126262,C,H20,202015,0,,0.84138,2.95462,0.17413,Branco - Ledor,,2,1
14,LC,126262,C,H20,202011,0,,0.84138,2.95462,0.17413,Branco,,2,0
9,LC,126272,A,H12,202015,0,,0.43845,2.64847,0.20122,Branco - Ledor,,2,1
9,LC,126272,A,H12,202011,0,,0.43845,2.64847,0.20122,Branco,,2,0
10,LC,126283,B,H13,202015,0,,0.9517,0.96307,0.11307,Branco - Ledor,,2,1
10,LC,126283,B,H13,202011,0,,0.9517,0.96307,0.11307,Branco,,2,0
11,LC,126284,C,H17,202015,0,,2.69694,3.00241,0.13249,Branco - Ledor,,2,1
11,LC,126284,C,H17,202011,0,,2.69694,3.00241,0.13249,Branco,,2,0
21,LC,126315,A,H2,202015,0,,1.22044,-0.47148,0.01891,Branco - Ledor,,2,1
21,LC,126315,A,H2,202011,0,,1.22044,-0.47148,0.01891,Branco,,2,0
3,LC,126317,A,H11,202015,0,,1.11623,1.47673,0.44419,Branco - Ledor,,2,1
3,LC,126317,A,H11,202011,0,,1.11623,1.47673,0.44419,Branco,,2,0
8,LC,126321,A,H14,202015,0,,0.22135,-0.25747,0.02431,Branco - Ledor,,2,1
8,LC,126321,A,H14,202011,0,,0.22135,-0.25747,0.02431,Branco,,2,0
19,LC,126342,B,H28,202015,0,,0.80651,1.08726,0.33155,Branco - Ledor,,2,1
19,LC,126342,B,H28,202011,0,,0.80651,1.08726,0.33155,Branco,,2,0
15,LC,126353,A,H21,202015,0,,0.92888,1.1169,0.31462,Branco - Ledor,,2,1
15,LC,126353,A,H21,202011,0,,0.92888,1.1169,0.31462,Branco,,2,0
