CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;CO_PROVA;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;IN_ITEM_ADAPTADO;ANO;IN_ENCCEJA;IN_ENEM;OCRSearch;theta_065;theta_080;theta_099;PercentEspAcerto;imagAPI
5;CN;35315;A;9;Natureza Rosa REGULAR;0;;1.41006;1.79995;0.19936;Rosa;0;2018;1;0;N/A;680.0024509429932;757.9820156097412;989.9299144744873;59.97;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35315.png
11;MT;35327;C;9;Matemática Amarela REGULAR;0;;0.67533;1.28366;0.24259;Amarela;0;2018;1;0;N/A;628.3705234527588;780.1406383514404;1267.1701908111572;62.13;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35327.png
2;CN;35338;A;16;Natureza Rosa REGULAR;0;;0.50406;0.65683;0.11081;Rosa;0;2018;1;0;N/A;565.6783580780029;811.1302852630615;1453.754186630249;55.54;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35338.png
26;CN;35343;A;21;Natureza Rosa REGULAR;0;;0.81521;2.58793;0.22187;Rosa;0;2018;1;0;N/A;758.7711811065674;889.0025615692139;1291.3386821746826;61.09;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35343.png
9;CN;35345;A;23;Natureza Rosa REGULAR;0;;1.92852;2.60674;0.16682;Rosa;0;2018;1;0;N/A;760.6713771820068;820.4309940338135;989.3767833709717;58.34;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35345.png
18;MT;35359;D;21;Matemática Amarela REGULAR;0;;0.94167;2.38921;0.18073;Amarela;0;2018;1;0;N/A;738.9395236968994;858.9451313018799;1205.491304397583;59.04;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35359.png
7;CN;35374;D;29;Natureza Rosa REGULAR;0;;1.56815;2.95498;0.27681;Rosa;0;2018;1;0;N/A;795.4971790313721;856.820821762085;1067.6114559173584;63.84;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35374.png
21;MT;35396;D;6;Matemática Amarela REGULAR;0;;1.67427;2.44855;0.28675;Amarela;0;2018;1;0;N/A;744.8642253875732;801.1453151702881;998.884916305542;64.34;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35396.png
1;CN;35402;C;12;Natureza Rosa REGULAR;0;;1.1621;1.29769;0.23956;Rosa;0;2018;1;0;N/A;629.777193069458;718.435525894165;1001.3430118560791;61.98;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35402.png
3;MT;35419;D;15;Matemática Amarela REGULAR;0;;0.15694;6.48218;0.07211;Amarela;0;2018;1;0;N/A;1148.3423709869385;1971.3561534881592;4027.9762744903564;53.61;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35419.png
4;CH;35518;D;3;Humanas Azul REGULAR;0;;0.7086;0.58428;0.2634;Azul;0;2018;1;0;N/A;558.4280490875244;697.7074146270752;1163.2530689239502;63.17;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35518.png
21;CH;35776;C;21;Humanas Azul REGULAR;0;;1.32408;0.95146;0.22858;Azul;0;2018;1;0;N/A;595.1492786407471;674.4306087493896;922.3620891571045;61.43;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35776.png
27;CH;35893;D;28;Humanas Azul REGULAR;0;;0.77946;0.63972;0.0141;Azul;0;2018;1;0;N/A;563.9450550079346;739.5427227020264;1151.6587734222412;50.7;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35893.png
15;CH;35979;A;15;Humanas Azul REGULAR;0;;1.10252;1.04029;0.20722;Azul;0;2018;1;0;N/A;604.0256023406982;702.5759220123291;999.5119571685791;60.36;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35979.png
24;LC;35986;D;24;Linguagens Branco REGULAR;0;;1.21057;2.41627;0.20246;Branco;0;2018;1;0;N/A;741.614580154419;832.0395946502686;1102.3108959197998;60.12;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35986.png
