CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;CO_PROVA;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;IN_ITEM_ADAPTADO;ANO;IN_ENCCEJA;IN_ENEM;OCRSearch;theta_065;theta_080;theta_099;PercentEspAcerto;imagAPI
17;LC;35833;C;17;Linguagens Branco PPL;0;;0.782;0.9061;0.216;Branco;0;2017;1;0;N/A;590.6097888946533;727.6408672332764;1146.747350692749;60.8;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35833.png
3;LC;35840;C;30;Linguagens Branco PPL;0;;0.923;1.0994;0.22;Branco;0;2017;1;0;N/A;609.940767288208;725.292444229126;1080.5575847625732;61.0;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35840.png
18;LC;35870;A;13;Linguagens Branco PPL;0;;0.6509;1.4825;0.2439;Branco;0;2017;1;0;N/A;648.2903957366943;805.3605556488037;1310.760259628296;62.2;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35870.png
2;LC;35965;A;29;Linguagens Branco PPL;0;;1.268;0.3628;0.1882;Branco;0;2017;1;0;N/A;536.2789630889893;624.4580745697021;882.0431232452393;59.41;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/35965.png
24;LC;37349;C;5;Linguagens Branco PPL;0;;0.8586;1.6799;0.246;Branco;0;2017;1;0;N/A;667.9909229278564;786.6542339324951;1169.9073314666748;62.3;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/37349.png
29;CH;38102;C;28;Humanas Azul PPL;0;;0.8674;1.1961;0.1974;Azul;0;2017;1;0;N/A;619.6110248565674;746.7644214630127;1123.7304210662842;59.87;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/38102.png
12;CN;39029;B;28;Natureza Rosa REGULAR;0;;1.6216;2.6791;0.2699;Rosa;0;2017;1;0;N/A;767.9264545440674;828.0198574066162;1031.6507816314697;63.5;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/39029.png
6;LC;39705;B;6;Linguagens Branco REGULAR;0;;1.8446;1.7447;0.1661;Branco;0;2017;1;0;N/A;674.4568347930908;737.0083332061768;913.6264324188232;58.3;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/39705.png
20;CN;41509;B;20;Natureza Rosa PPL;0;;0.7257;4.1042;0.331;Rosa;0;2017;1;0;N/A;910.4197025299072;1027.862310409546;1487.5380992889404;66.55;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/41509.png
11;LC;41524;B;11;Linguagens Branco REGULAR;0;;1.7788;0.4549;0.1712;Branco;0;2017;1;0;N/A;545.4890727996826;609.8859310150146;793.1439876556396;58.56;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/41524.png
