CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;CO_PROVA;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;TP_LINGUA;IN_ITEM_ADAPTADO;ANO;IN_ENCCEJA;IN_ENEM;OCRSearch;theta_065;theta_080;theta_099;PercentEspAcerto;imagAPI
42;MT;77040;D;H13;Matemática Amarela REGULAR;0;;0.74077;1.04811;0.22345;Amarela;;0;2020;1;0;N/A;604.7933101654053;747.734785079956;1190.5949115753174;61.17;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/77040.png
23;CN;78590;B;H23;Natureza Rosa REGULAR;0;;1.40385;2.17789;0.37131;Rosa;;0;2020;1;0;N/A;717.8084850311279;772.0987796783447;1011.6260051727295;68.57;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/78590.png
46;MT;78783;D;H14;Matemática Amarela REGULAR;0;;2.23278;2.48936;0.17813;Amarela;;0;2020;1;0;N/A;748.943567276001;799.7434139251709;945.8534717559814;58.91;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/78783.png
46;CH;79288;C;H16;Humanas Azul REGULAR;0;;1.12169;-0.0386;0.18239;Azul;;0;2020;1;0;N/A;496.1411952972412;596.660852432251;887.645959854126;59.12;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79288.png
43;MT;79357;C;H24;Matemática Amarela REGULAR;0;;0.89018;1.17152;0.20047;Amarela;;0;2020;1;0;N/A;617.1314716339111;740.4797077178955;1107.9351902008057;60.02;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79357.png
37;MT;79517;D;H4;Matemática Amarela REGULAR;0;;0.79707;0.28324;0.1909;Amarela;;0;2020;1;0;N/A;528.2919406890869;668.0433750152588;1077.9492855072021;59.54;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79517.png
27;CN;79525;D;H27;Natureza Rosa REGULAR;0;;2.24365;1.54659;0.14345;Rosa;;0;2020;1;0;N/A;654.653787612915;707.6399326324463;852.4887561798096;57.17;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79525.png
28;LC;79723;D;H27;Linguagens Branco REGULAR;0;;0.53745;1.64764;0.27355;Branco;;0;2020;1;0;N/A;664.7889614105225;844.8426723480225;1459.5763683319092;63.68;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79723.png
54;CH;79751;C;H24;Humanas Azul REGULAR;0;;1.23811;1.29311;0.25199;Azul;;0;2020;1;0;N/A;629.31227684021;710.7226848602295;976.7262935638428;62.6;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79751.png
58;MT;79868;B;H25;Matemática Amarela REGULAR;0;;0.56704;1.75069;0.21996;Amarela;;0;2020;1;0;N/A;675.086259841919;862.8480434417725;1441.1275386810303;61.0;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79868.png
15;CN;79874;C;H15;Natureza Rosa REGULAR;0;;1.97896;0.53154;0.02735;Rosa;;0;2020;1;0;N/A;553.1589984893799;621.4468479156494;783.9362621307373;51.37;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/79874.png
24;CN;80353;B;H24;Natureza Rosa REGULAR;0;;1.62486;2.39502;0.15945;Rosa;;0;2020;1;0;N/A;739.495038986206;811.1398220062256;1011.4948749542236;57.97;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/80353.png
35;MT;81272;D;H3;Matemática Amarela REGULAR;0;;2.2678;1.84664;0.17058;Amarela;;0;2020;1;0;N/A;684.6659183502197;735.217809677124;878.950834274292;58.53;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/81272.png
19;CN;87646;B;H19;Natureza Rosa REGULAR;0;;1.61477;1.69157;0.06404;Rosa;;0;2020;1;0;N/A;669.152021408081;749.8400211334229;949.5847225189209;53.2;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/87646.png
57;CH;89260;D;H27;Humanas Azul REGULAR;0;;0.88108;0.02924;0.00452;Azul;;0;2020;1;0;N/A;502.9432773590088;659.6224308013916;1023.9379405975342;50.23;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/89260.png
51;CH;91067;C;H21;Humanas Azul REGULAR;0;;1.49024;1.26653;0.20598;Azul;;0;2020;1;0;N/A;626.6562938690186;699.7005939483643;919.3484783172607;60.3;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/91067.png
52;MT;91624;B;H19;Matemática Amarela REGULAR;0;;0.32975;2.82379;0.10924;Amarela;;0;2020;1;0;N/A;782.3507785797119;1158.2629680633545;2140.4378414154053;55.46;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/91624.png
14;CN;92857;C;H14;Natureza Rosa REGULAR;0;;1.38559;2.50687;0.32233;Rosa;;0;2020;1;0;N/A;750.7030963897705;813.5192394256592;1053.8952350616455;66.12;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/92857.png
31;CH;92989;C;H1;Humanas Azul REGULAR;0;;0.94105;1.26233;0.18708;Azul;;0;2020;1;0;N/A;626.2128353118896;745.2409267425537;1092.273473739624;59.35;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/92989.png
59;CH;93057;D;H29;Humanas Azul REGULAR;1;Problemas na convergencia;;;;Azul;;0;2020;1;0;N/A;10499.998807907104;10499.998807907104;10499.998807907104;;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/93057.png
43;CH;93173;A;H13;Humanas Azul REGULAR;0;;0.96454;-0.38059;0.01345;Azul;;0;2020;1;0;N/A;461.930513381958;603.9087772369385;936.927080154419;50.67;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/93173.png
32;MT;93287;D;H18;Matemática Amarela REGULAR;0;;2.48493;1.94172;0.12277;Amarela;;0;2020;1;0;N/A;694.17405128479;743.2548999786377;873.762845993042;56.14;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/93287.png
13;LC;93992;B;H15;Linguagens Branco REGULAR;1;Problemas na convergencia;;;;Branco;;0;2020;1;0;N/A;10499.998807907104;10499.998807907104;10499.998807907104;;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/93992.png
18;CN;94014;D;H18;Natureza Rosa REGULAR;0;;1.42419;1.46631;0.22654;Rosa;;0;2020;1;0;N/A;646.6429233551025;720.5932140350342;951.0343074798584;61.33;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/94014.png
12;LC;94040;A;H16;Linguagens Branco REGULAR;0;;0.54428;3.30211;0.12801;Branco;;0;2020;1;0;N/A;830.2061557769775;1052.8771877288818;1649.0285396575928;56.4;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/94040.png
31;MT;94208;C;H1;Matemática Amarela REGULAR;0;;1.02057;-0.35469;0.02789;Amarela;;0;2020;1;0;N/A;464.51258659362793;596.8897342681885;911.9813442230225;51.39;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/94208.png
30;LC;94274;D;H30;Linguagens Branco REGULAR;0;;0.41402;2.62986;0.00919;Branco;;0;2020;1;0;N/A;762.991189956665;1095.031976699829;1870.612382888794;50.46;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/94274.png
1;CN;94339;C;H1;Natureza Rosa REGULAR;0;;1.98644;1.80609;0.25027;Rosa;;0;2020;1;0;N/A;680.5984973907471;731.5104007720947;897.263765335083;62.51;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/94339.png
50;MT;117271;A;H28;Matemática Amarela REGULAR;0;;1.1608;2.00853;0.13422;Amarela;;0;2020;1;0;N/A;700.8497714996338;804.4569492340088;1084.1600894927979;56.71;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117271.png
41;MT;124537;B;H9;Matemática Amarela REGULAR;0;;1.14213;2.54054;0.14727;Amarela;;0;2020;1;0;N/A;754.0385723114014;857.6195240020752;1142.2817707061768;57.36;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124537.png
56;CH;124562;B;H26;Humanas Azul REGULAR;0;;0.35943;-0.07106;0.01578;Azul;;0;2020;1;0;N/A;492.905855178833;873.0428218841553;1766.869306564331;50.79;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124562.png
47;MT;124569;B;H26;Matemática Amarela REGULAR;0;;1.39087;0.36962;0.13793;Amarela;;0;2020;1;0;N/A;536.9727611541748;623.0275630950928;856.5514087677002;56.9;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124569.png
57;MT;124613;B;H29;Matemática Amarela REGULAR;0;;2.18882;1.9141;0.11857;Amarela;;0;2020;1;0;N/A;691.413164138794;747.41530418396;895.5185413360596;55.93;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124613.png
59;MT;124629;C;H5;Matemática Amarela REGULAR;0;;1.50569;1.78835;0.27803;Amarela;;0;2020;1;0;N/A;678.8294315338135;742.546796798706;962.1231555938721;63.9;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124629.png
48;MT;124634;C;H23;Matemática Amarela REGULAR;0;;1.92461;2.14856;0.21546;Amarela;;0;2020;1;0;N/A;714.8473262786865;770.5824375152588;940.8586025238037;60.77;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124634.png
56;MT;124658;B;H21;Matemática Amarela REGULAR;0;;2.29399;1.94522;0.11781;Amarela;;0;2020;1;0;N/A;694.5221424102783;748.0089664459229;889.3101215362549;55.89;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124658.png
45;MT;124661;A;H27;Matemática Amarela REGULAR;0;;0.9285;1.9287;0.10578;Amarela;;0;2020;1;0;N/A;692.8746700286865;826.8992900848389;1175.595998764038;55.29;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124661.png
39;CH;124698;B;H9;Humanas Azul REGULAR;1;Problemas na convergencia;;;;Azul;;0;2020;1;0;N/A;10499.998807907104;10499.998807907104;10499.998807907104;;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124698.png
54;MT;124701;C;H30;Matemática Amarela REGULAR;0;;1.58524;1.99038;0.17773;Amarela;;0;2020;1;0;N/A;699.049711227417;770.6396579742432;976.4258861541748;58.89;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124701.png
53;CH;124718;A;H23;Humanas Azul REGULAR;0;;1.2388;0.62046;0.17791;Azul;;0;2020;1;0;N/A;562.0639324188232;653.6476612091064;916.9881343841553;58.9;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124718.png
42;CH;124724;B;H12;Humanas Azul REGULAR;0;;1.13003;-0.46778;0.00908;Azul;;0;2020;1;0;N/A;453.20677757263184;574.8884677886963;859.0428829193115;50.45;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124724.png
34;MT;124726;D;H7;Matemática Amarela REGULAR;0;;0.53989;0.55867;0.02515;Amarela;;0;2020;1;0;N/A;555.8865070343018;806.7243099212646;1402.2223949432373;51.26;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124726.png
38;CH;124734;D;H8;Humanas Azul REGULAR;0;;1.05659;1.16285;0.20117;Azul;;0;2020;1;0;N/A;616.2922382354736;720.0782299041748;1029.6862125396729;60.06;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124734.png
36;MT;124764;A;H20;Matemática Amarela REGULAR;0;;1.20735;1.36073;0.22157;Amarela;;0;2020;1;0;N/A;636.0785961151123;724.0335941314697;995.682954788208;61.08;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124764.png
58;CH;124775;D;H28;Humanas Azul REGULAR;0;;1.30399;0.59934;0.14002;Azul;;0;2020;1;0;N/A;559.9300861358643;651.4899730682373;900.627851486206;57.0;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124775.png
60;MT;124812;C;H11;Matemática Amarela REGULAR;0;;2.6715;2.00378;0.15216;Amarela;;0;2020;1;0;N/A;700.3824710845947;744.373083114624;866.135835647583;57.61;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124812.png
55;MT;124823;A;H15;Matemática Amarela REGULAR;0;;5.74798;2.41532;0.08947;Amarela;;0;2020;1;0;N/A;741.5287494659424;763.587236404419;819.8277950286865;54.47;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124823.png
50;CH;124831;D;H20;Humanas Azul REGULAR;0;;1.04039;-0.36919;0.00522;Azul;;0;2020;1;0;N/A;463.0773067474365;595.7000255584717;904.2446613311768;50.26;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124831.png
53;MT;124840;B;H8;Matemática Amarela REGULAR;0;;2.12658;2.12919;0.34921;Amarela;;0;2020;1;0;N/A;712.9185199737549;751.1346340179443;908.5433483123779;67.46;https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/124840.png
