CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
78,CH,76955,B,"27,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,Amarela,PROVA AMARELA,,"0,0",2019,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
81,CH,118067,C,"29,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,Amarela,PROVA AMARELA,,"0,0",2019,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
49,CH,84199,A,"29,0",1,bisblg < -0.15,,,,AMARELA,PROVA AMARELA,,"0,0",2022,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
