CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
42,CH,38250,D,"9,0",0,,"3,00837","0,49169","0,13877",AMARELA,PROVA AMARELA,,"0,0",2017,"551,954984664917","572,54958152771","636,0666751861572","56,94",Cluster 0
44,CH,81598,E,"3,0",0,,"1,85031","0,57925","0,11344",AMARELA,PROVA AMARELA,,"0,0",2017,"564,1524791717529","597,1353054046631","700,1392841339111","55,67",Cluster 0
46,CH,87933,B,"26,0",0,,"1,86075","0,60715","0,16478",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"563,3823871612549","597,2473621368408","700,2251148223877","58,24",Cluster 0
47,CH,95827,E,"27,0",0,,"2,82036","0,34785","0,14339",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"537,5449657440186","559,579610824585","627,3620128631592","57,17",Cluster 0
50,CH,88071,B,"6,0",0,,"2,23822","-0,20344","0,17789",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"481,07075691223145","509,4807147979736","595,2160358428955","58,89",Cluster 0
51,CH,40718,B,"7,0",0,,"3,22764","0,00211","0,14534",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"502,5451183319092","521,8212604522705","581,0635089874268","57,27",Cluster 0
54,CH,95981,A,"1,0",0,,"1,49301","0,39051","0,13479",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"545,0003147125244","586,3993167877197","714,3299579620361","56,74",Cluster 0
55,CH,84204,B,"28,0",0,,"1,1821","0,37759","0,19861",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"537,9312038421631","592,543363571167","755,2783489227295","59,93",Cluster 0
56,CH,97728,D,"3,0",0,,"2,36968","-0,16459","0,1557",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"486,1490726470947","512,580156326294","593,3587551116943","57,78",Cluster 0
59,CH,78160,A,"8,0",0,,"1,61733","-0,39165","0,1742",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"463,1083011627197","502,3233890533447","620,924711227417","58,71",Cluster 0
60,CH,42159,D,"9,0",0,,"2,09992","0,40188","0,1605",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"542,8259372711182","572,7474689483643","663,952112197876","58,03",Cluster 0
61,CH,14801,B,"10,0",0,,"2,01172","0,18308","0,15751",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"521,2609767913818","552,4318218231201","647,6037502288818","57,88",Cluster 0
62,CH,9367,A,"16,0",0,,"2,06636","0,05165","0,22283",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"503,4916400909424","535,3348255157471","628,716230392456","61,14",Cluster 0
67,CH,40158,D,"22,0",0,,"1,64192","-0,5206","0,20366",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"447,61109352111816","487,0789051055908","604,3140888214111","60,18",Cluster 0
68,CH,96697,A,"22,0",0,,"1,8021","0,48854","0,21017",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"548,0139255523682","584,155797958374","691,0579204559326","60,51",Cluster 0
69,CH,97278,D,"23,0",0,,"1,73416","-0,044","0,18703",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"496,68240547180176","533,5919857025146","644,3660259246826","59,35",Cluster 0
71,CH,12389,D,"29,0",0,,"2,46951","0,36646","0,19372",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"537,0180606842041","563,0629062652588","640,913724899292","59,69",Cluster 0
72,CH,63741,D,"30,0",0,,"2,00386","-0,05261","0,20179",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"494,60816383361816","526,9019603729248","622,9369640350342","60,09",Cluster 0
75,CH,87095,B,"24,0",0,,"2,68807","0,35434","0,14356",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"538,3222103118896","561,4416599273682","632,5619220733643","57,18",Cluster 0
76,CH,85825,B,"25,0",0,,"1,65106","0,77214","0,30795",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"566,0073757171631","609,2875003814697","727,6527881622314","65,4",Cluster 0
78,CH,26952,C,"26,0",0,,"1,76129","0,11994","0,20778",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"511,3379955291748","548,2499599456787","657,5934886932373","60,39",Cluster 0
80,CH,89182,D,"19,0",0,,"1,66455","0,34601","0,14281",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"539,3235683441162","576,6432285308838","691,4823055267334","57,14",Cluster 0
82,CH,96884,B,"11,0",0,,"2,01758","0,13334","0,16439",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"515,8202648162842","547,0459461212158","642,0128345489502","58,22",Cluster 0
84,CH,24397,D,"13,0",0,,"2,342","0,03491","0,15292",Amarela,PROVA AMARELA PPL REAPLICACAO,,"0,0",2018,"506,2859058380127","532,9816341400146","614,6924495697021","57,65",Cluster 0
