CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
1,CH,81726,B,"30,0",0,,"3,95893","1,08055","0,14882",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"609,8430156707764","625,5953311920166","673,9108562469482","57,44",Cluster 2
2,CH,23043,D,"20,0",0,,"1,93517","0,75431","0,10121",AMARELA,PROVA AMARELA,,"0,0",2017,"582,1411609649658","613,4598255157471","711,8313312530518","55,06",Cluster 2
4,CH,76970,A,"14,0",0,,"3,29925","0,72321","0,13557",AMARELA,PROVA AMARELA,,"0,0",2017,"574,9838352203369","593,7283039093018","651,6234874725342","56,78",Cluster 2
5,CH,25520,B,"6,0",0,,"0,75649","1,2834","0,26741",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"613,9891147613525","704,4999599456787","961,1670970916748","63,37",Cluster 2
5,CH,79027,E,"27,0",0,,"3,05195","1,30961","0,19394",AMARELA,PROVA AMARELA,,"0,0",2017,"631,2506198883057","652,3292064666748","715,3265476226807","59,7",Cluster 2
6,CH,78146,E,"8,0",0,,"4,15431","0,99679","0,17249",AMARELA,PROVA AMARELA,,"0,0",2017,"600,6209850311279","615,8702373504639","662,0328426361084","58,62",Cluster 2
7,CH,25316,C,"1,0",0,,"3,11845","1,14451","0,21842",AMARELA,PROVA AMARELA,,"0,0",2017,"613,5623455047607","634,5860958099365","696,4271068572998","60,92",Cluster 2
9,CH,96575,E,"3,0",0,,"1,59347","0,79893","0,02275",AMARELA,PROVA AMARELA,,"0,0",2017,"593,4350490570068","630,0036907196045","748,6646175384521","51,14",Cluster 2
11,CH,67012,D,"8,0",0,,"1,57485","1,06511","0,12223",AMARELA,PROVA AMARELA,,"0,0",2017,"613,147497177124","652,0979404449463","773,2241153717041","56,11",Cluster 2
12,CH,68289,C,"17,0",0,,"0,78374","1,46576","0,24601",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"637,404203414917","723,0441570281982","970,0219631195068","62,3",Cluster 2
13,CH,37521,D,"15,0",0,,"2,27318","0,94294","0,14533",AMARELA,PROVA AMARELA,,"0,0",2017,"597,6097583770752","624,9802112579346","709,0942859649658","57,27",Cluster 2
14,CH,29085,B,"11,0",0,,"3,658","1,22452","0,23857",AMARELA,PROVA AMARELA,,"0,0",2017,"620,8221912384033","639,0492916107178","691,9114589691162","61,93",Cluster 2
14,CH,54060,B,"12,0",0,,"1,34111","1,25968","0,22337",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"623,3279705047607","672,4135875701904","816,3039684295654","61,17",Cluster 2
15,CH,16422,E,"22,0",0,,"2,7308","0,96377","0,22682",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"594,8822498321533","619,0578937530518","689,7537708282471","61,34",Cluster 2
16,CH,28757,D,"1,0",0,,"2,62786","1,07698","0,12508",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"611,5405559539795","634,9246501922607","707,5350284576416","56,25",Cluster 2
17,CH,38765,C,"15,0",0,,"0,99919","1,02893","0,23291",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"597,8386402130127","664,2477512359619","857,6219081878662","61,65",Cluster 2
17,CH,83836,E,"4,0",0,,"4,42165","0,96735","0,16352",AMARELA,PROVA AMARELA,,"0,0",2017,"597,8958606719971","612,1366024017334","655,4644107818604","58,18",Cluster 2
19,CH,15434,A,"7,0",0,,"3,18608","1,41745","0,2632",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"638,5700702667236","659,9729061126709","720,876932144165","63,16",Cluster 2
21,CH,63352,A,"13,0",0,,"1,19524","1,07041","0,2141",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"605,2749156951904","659,9395275115967","821,1963176727295","60,7",Cluster 2
23,CH,40827,B,"18,0",0,,"2,872","0,87565","0,15092",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"589,9350643157959","611,6764545440674","678,292989730835","57,55",Cluster 2
23,CH,47840,C,"23,0",0,,"2,04385","1,11658","0,20855",AMARELA,PROVA AMARELA,,"0,0",2017,"611,0351085662842","642,8639888763428","737,1013164520264","60,43",Cluster 2
24,CH,18647,C,"30,0",0,,"2,15799","0,8782","0,17855",AMARELA,PROVA AMARELA,,"0,0",2017,"589,2436504364014","618,7241077423096","707,6542377471924","58,93",Cluster 2
26,CH,11098,D,"19,0",0,,"2,56549","1,18141","0,27398",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"613,452672958374","640,312910079956","716,0727977752686","63,7",Cluster 2
26,CH,75940,D,"12,0",0,,"1,37355","0,75842","0,07018",AMARELA,PROVA AMARELA,,"0,0",2017,"587,8798961639404","631,2792301177979","769,4833278656006","53,51",Cluster 2
30,CH,84226,E,"26,0",0,,"3,15884","0,92459","0,095",AMARELA,PROVA AMARELA,,"0,0",2017,"596,7991352081299","615,9203052520752","676,1496067047119","54,75",Cluster 2
31,CH,81738,E,"26,0",0,,"1,84099","0,74416","0,16928",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"576,7791271209717","611,1137866973877","715,2478694915771","58,46",Cluster 2
31,CH,83848,A,"28,0",0,,"0,67598","0,5519","0,00798",AMARELA,PROVA AMARELA,,"0,0",2017,"589,3080234527588","674,9527454376221","954,3507099151612","50,4",Cluster 2
32,CH,84165,B,"18,0",0,,"1,42185","0,7908","0,03124",AMARELA,PROVA AMARELA,,"0,0",2017,"593,6424732208252","634,7839832305908","767,859697341919","51,56",Cluster 2
33,CH,82519,B,"29,0",0,,"2,86771","1,13694","0,20452",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"613,4598255157471","636,0738277435303","703,2029628753662","60,23",Cluster 2
34,CH,77799,C,"29,0",0,,"4,07841","0,72381","0,20354",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"572,253942489624","588,1421566009521","635,3371143341064","60,18",Cluster 2
35,CH,26740,A,"16,0",0,,"1,64622","0,80634","0,21704",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"579,0774822235107","618,8600063323975","735,985517501831","60,85",Cluster 2
35,CH,81916,E,"6,0",0,,"0,9804","1,31334","0,0939",AMARELA,PROVA AMARELA,,"0,0",2017,"645,4508304595947","707,0200443267822","901,05938911438","54,7",Cluster 2
36,CH,82451,D,"24,0",0,,"3,08524","0,90303","0,16443",AMARELA,PROVA AMARELA,,"0,0",2017,"591,928243637085","612,3464107513428","674,4520664215088","58,22",Cluster 2
37,CH,28534,C,"25,0",0,,"2,84018","1,22549","0,17634",AMARELA,PROVA AMARELA PPL REAPLICACAO,,"0,0",2017,"623,7380504608154","646,104097366333","713,6576175689697","58,82",Cluster 2
38,CH,49683,A,"2,0",0,,"2,04543","0,74139","0,20814",AMARELA,PROVA AMARELA,,"0,0",2017,"573,5485553741455","605,3416728973389","699,500322341919","60,41",Cluster 2
