CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099,PercentEspAcerto,Cluster
170,MT,30294,X,"4,0",1,Anulado,,,,Cinza,PROVA CINZA,,"0,0",2018,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
141,MT,23065,C,"14,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,Cinza,PROVA CINZA,,"0,0",2019,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
174,MT,28698,C,"3,0",1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,Cinza,PROVA CINZA PPL REAPLICACAO,,"0,0",2019,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
156,MT,44322,X,"28,0",1,Anulado,,,,CINZA,PROVA CINZA,,"0,0",2020,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
155,MT,117674,X,,1,Anulado,,,,CINZA,PROVA CINZA,,,2021,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
177,MT,89637,E,"28,0",1,Convergência,,,,CINZA,PROVA CINZA,,"0,0",2022,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
157,MT,39443,X,"19,0",1,anulado pedagogicamente,,,,CINZA,PROVA CINZA,,"0,0",2022,"10499,998807907104","10499,998807907104","10499,998807907104",,Cluster 1
