CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,theta_080,theta_099
10,LC,68223,B,"14,0",0,,"1,61358","0,81326","0,20639",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"589,9660587310791","620,9867000579834","740,3199672698975"
10,LC,118306,A,"16,0",0,,"2,85223","1,042","0,12609",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"612,5204563140869","629,2526721954346","696,157693862915"
11,LC,87984,E,"15,0",0,,"1,57794","1,16158","0,24936",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"621,1965084075928","653,9123058319092","776,6406536102295"
11,LC,118264,E,"21,0",0,,"1,88081","0,20842","0,03365",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"538,5391712188721","562,8554821014404","663,4752750396729"
12,LC,89550,C,"1,0",0,,"3,10874","0,76811","0,16616",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"582,937479019165","598,6373424530029","660,2828502655029"
12,LC,98305,B,"25,0",0,,"2,68414","1,64734","0,20502",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"669,9960231781006","688,6260509490967","760,3518962860107"
13,LC,14169,B,"14,0",0,,"3,00635","1,13504","0,10103",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"622,3099231719971","637,9883289337158","701,3075351715088"
13,LC,84059,B,"11,0",0,,"2,64591","0,40747","0,17239",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"547,6586818695068","566,1718845367432","638,6511325836182"
14,LC,42506,D,"4,0",0,,"2,40336","1,61117","0,20239",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO PPL,,"0,0",2019,"667,1373844146729","687,908411026001","767,9884433746338"
14,LC,118278,B,"16,0",0,,"2,48291","1,15452","0,08973",Amarela,1º DIA - PROVA: AMARELA - APLICAÇÃO REGULAR,,"0,0",2019,"626,5990734100342","645,4770565032959","722,0666408538818"
